ID,Pop
AMNH_380148,Western
AMNH_380149,Western
AMNH_506298,Migratory
AMNH_759212,Eastern
AMNH_759213,Eastern
AMNH_759214,Eastern
AMNH_759219,Eastern
ANSP 343-41451,Migratory
CUMV_16055,Migratory
CUMV_16056,Western
CUMV_16057,Western
CUMV_16058,Western
CUMV_16059,Western
CUMV_16060,Western
CUMV_16061,Migratory
FMNH_10530,Migratory
FMNH_148366,Western
FMNH_17852,Migratory
FMNH_17855,Migratory
FMNH_17857,Migratory
FMNH_17858,Migratory
FMNH_17861,Migratory
FMNH_17865,Migratory
FMNH_17867,Migratory
FMNH_20407,Migratory
FMNH_6144,Migratory
FMNH_6146,Migratory
MCZ_242103,Eastern
MCZ_306637,Eastern
MCZ_308647,Eastern
MCZ_319248,Eastern
UMMZ_55125,Migratory
UMMZ_71834,Migratory
USNM_121335,Eastern
USNM_135001,Eastern
USNM_204985,Western
USNM_204986,Western
USNM_204987,Western
USNM_204988,Western
USNM_204989,Western
USNM_204990,Western
USNM_228503,Western
USNM_228504,Western
USNM_259139,Western
USNM_259140,Western
USNM_260292,Western
